Date,Mkt-RF,SMB,HML,RF
2020-10-29,1.13,0.18,0.27,0.0
2020-10-30,-1.45,-0.8,1.87,0.0
2020-11-02,1.17,0.54,0.98,0.0
2020-11-03,1.93,1.01,-0.19,0.0
2020-11-04,2.25,-1.49,-5.02,0.0
2020-11-05,2.13,1.0,0.52,0.0
2020-11-06,0.01,-0.86,-0.93,0.0
2020-11-09,0.86,0.8,6.73,0.0
2020-11-10,-0.17,1.56,2.17,0.0
2020-11-11,0.88,-0.57,-1.75,0.0
2020-11-12,-0.94,-0.23,-1.19,0.0
2020-11-13,1.31,0.62,1.14,0.0
2020-11-16,1.22,0.77,1.99,0.0
2020-11-17,-0.19,0.6,-0.01,0.0
2020-11-18,-0.93,-0.03,0.01,0.0
2020-11-19,0.59,0.47,-0.76,0.0
2020-11-20,-0.51,0.68,-0.6,0.0
2020-11-23,0.83,0.87,1.56,0.0
2020-11-24,1.56,-0.11,2.77,0.0
2020-11-25,0.03,0.0,-1.33,0.0
2020-11-27,0.43,0.47,-1.63,0.0
2020-11-30,-0.53,-0.99,-2.07,0.0
2020-12-01,0.98,-0.27,0.53,0.0
2020-12-02,0.11,-0.09,1.08,0.0
2020-12-03,0.18,0.5,-0.09,0.0
2020-12-04,1.02,1.46,0.83,0.0
2020-12-07,0.03,0.24,-1.02,0.0
2020-12-08,0.47,1.02,-0.7,0.0
2020-12-09,-1.03,-0.06,1.28,0.0
2020-12-10,0.24,1.12,-0.47,0.0
2020-12-11,-0.2,-0.38,-0.71,0.0
2020-12-14,-0.28,0.58,-1.53,0.0
2020-12-15,1.28,1.08,0.36,0.0
2020-12-16,0.17,-0.43,-0.37,0.0
2020-12-17,0.79,0.69,-0.7,0.0
2020-12-18,-0.12,0.07,-1.17,0.0
2020-12-21,-0.23,0.13,-0.05,0.0
2020-12-22,0.06,1.21,-1.61,0.0
2020-12-23,0.1,0.38,2.03,0.0
2020-12-24,0.21,-0.41,-0.19,0.0
2020-12-28,0.46,-0.73,0.36,0.0
2020-12-29,-0.4,-1.53,0.24,0.0
2020-12-30,0.27,1.01,0.03,0.0
2020-12-31,0.39,-0.89,0.41,0.0
2021-01-04,-1.41,0.22,0.58,0.0
2021-01-05,0.86,1.23,0.49,0.0
2021-01-06,0.79,2.14,3.94,0.0
2021-01-07,1.76,0.33,-0.83,0.0
2021-01-08,0.51,-0.75,-1.37,0.0
2021-01-11,-0.51,0.26,1.26,0.0
2021-01-12,0.38,1.29,1.21,0.0
2021-01-13,0.07,-0.93,-0.46,0.0
2021-01-14,-0.11,2.03,1.12,0.0
2021-01-15,-0.86,-0.49,-0.76,0.0
2021-01-19,0.92,0.88,-0.8,0.0
2021-01-20,1.26,-0.39,-1.08,0.0
2021-01-21,-0.04,-0.55,-0.94,0.0
2021-01-22,-0.07,1.87,-0.12,0.0
2021-01-25,0.29,-0.05,-0.4,0.0
2021-01-26,-0.32,0.02,0.01,0.0
2021-01-27,-2.53,1.33,1.56,0.0
2021-01-28,0.92,-1.93,-0.91,0.0
2021-01-29,-1.84,0.59,0.58,0.0
2021-02-01,1.73,0.93,-1.47,0.0
2021-02-02,1.48,-0.85,-1.08,0.0
2021-02-03,0.15,0.43,0.7,0.0
2021-02-04,1.23,0.38,0.37,0.0
2021-02-05,0.58,1.07,-0.48,0.0
2021-02-08,0.96,2.11,0.39,0.0
2021-02-09,0.05,0.71,-0.17,0.0
2021-02-10,-0.08,-0.49,0.61,0.0
2021-02-11,0.19,-0.22,-0.43,0.0
2021-02-12,0.49,-0.14,0.49,0.0
2021-02-16,-0.14,-0.61,1.89,0.0
2021-02-17,-0.21,-0.85,0.61,0.0
2021-02-18,-0.63,-1.55,-0.2,0.0
2021-02-19,0.16,1.79,0.72,0.0
2021-02-22,-1.13,-0.05,3.16,0.0
2021-02-23,-0.15,-1.27,0.89,0.0
2021-02-24,1.15,1.22,1.42,0.0
2021-02-25,-2.74,-1.13,0.92,0.0
2021-02-26,-0.28,0.66,-1.58,0.0
2021-03-01,2.63,1.09,0.23,0.0
2021-03-02,-1.05,-1.09,1.23,0.0
2021-03-03,-1.57,-0.19,3.56,0.0
2021-03-04,-1.7,-1.36,1.71,0.0
2021-03-05,1.85,0.21,0.61,0.0
2021-03-08,-0.67,0.61,3.71,0.0
2021-03-09,1.79,1.29,-3.23,0.0
2021-03-10,0.68,0.78,1.82,0.0
2021-03-11,1.44,1.61,-2.02,0.0
2021-03-12,0.1,0.14,1.3,0.0
2021-03-15,0.7,-0.1,-1.29,0.0
2021-03-16,-0.43,-1.11,-0.83,0.0
2021-03-17,0.33,0.47,0.33,0.0
